Iteracion,Tamaño del archivo,Tiempo
1,100 KB,0.0084
2,100 KB,0.0086
3,100 KB,0.0054
4,100 KB,0.009
5,100 KB,0.0085
6,100 KB,0.0073
7,100 KB,0.0074
8,100 KB,0.0205
9,100 KB,0.0099
10,100 KB,0.0055
11,100 KB,0.0034
12,100 KB,0.0253
13,100 KB,0.0074
14,100 KB,0.0078
15,100 KB,0.0027
16,100 KB,0.0183
17,100 KB,0.0017
18,100 KB,0.0146
19,100 KB,0.0127
20,100 KB,0.011
21,100 KB,0.0039
22,100 KB,0.0075
23,100 KB,0.0031
24,100 KB,0.0124
25,100 KB,0.002
26,100 KB,0.0079
27,100 KB,0.0093
28,100 KB,0.0252
29,100 KB,0.0137
30,100 KB,0.0017
