Iteracion,Tamaño del archivo,Tiempo
1,1 KB,0.0043
2,1 KB,0.0031
3,1 KB,0.0019
4,1 KB,7.0E-4
5,1 KB,0.0016
6,1 KB,0.0015
7,1 KB,0.0031
8,1 KB,0.0028
9,1 KB,0.0029
10,1 KB,6.0E-4
11,1 KB,0.0026
12,1 KB,0.0024
13,1 KB,0.0027
14,1 KB,0.0037
15,1 KB,7.0E-4
16,1 KB,0.0052
17,1 KB,0.0021
18,1 KB,0.0025
19,1 KB,9.0E-4
20,1 KB,9.0E-4
21,1 KB,0.0019
22,1 KB,0.0024
23,1 KB,0.0026
24,1 KB,0.0022
25,1 KB,6.0E-4
26,1 KB,0.006
27,1 KB,0.003
28,1 KB,0.0026
29,1 KB,0.0041
30,1 KB,6.0E-4
