Iteracion,Tamaño del archivo,Tiempo
1,1 MB,0.04245
2,1 MB,0.01792
3,1 MB,0.02185
4,1 MB,0.03788
5,1 MB,0.03091
6,1 MB,0.0326
7,1 MB,0.05579
8,1 MB,0.02263
9,1 MB,0.04366
10,1 MB,0.05729
11,1 MB,0.03671
12,1 MB,0.05508
13,1 MB,0.0441
14,1 MB,0.02469
15,1 MB,0.07507
16,1 MB,0.04513
17,1 MB,0.05113
18,1 MB,0.04517
19,1 MB,0.04538
20,1 MB,0.06278
21,1 MB,0.07024
22,1 MB,0.04116
23,1 MB,0.04419
24,1 MB,0.03092
25,1 MB,0.04243
26,1 MB,0.02686
27,1 MB,0.06118
28,1 MB,0.06417
29,1 MB,0.05249
30,1 MB,0.04803
